car_model,price,year_model,kms
Volkswagen Jetta 2.0 Europa,$34.500.000,2011,84.000
Volkswagen Jetta 2.0 Trendline,$33.000.000,2008,92.007
Volkswagen Jetta 1.8 Gli,$38.500.000,2010,102.000
Volkswagen Jetta 2.0 Trendline 4 p 115 hp,$43.000.000,2014,107.000
Volkswagen Jetta 1.4 Tsi Comfortline,$69.500.000,2019,71.600
Volkswagen Jetta 1.4 Tsi Comfortline,$69.500.000,2019,71.600
Volkswagen Jetta 2.0 Europa,$28.000.000,2008,190.000
Volkswagen Jetta 2.0 Gli,$67.500.000,2014,100.000
Volkswagen Jetta 1.4 Tsi Comfortline,$78.000.000,2020,37.000
Volkswagen Jetta 2.0 Trendline,$33.000.000,2013,85.500
Volkswagen Jetta 2.0 Trendline,$36.000.000,2013,140.000
Volkswagen Jetta 2.5 Comfortline,$44.900.000,2014,82.100
Volkswagen Jetta 2.0 Trendline,$28.500.000,2007,119.000
Volkswagen Jetta 2.0 Trendline,$29.900.000,2010,116.000
Volkswagen Jetta 1.8 Carat,$26.500.000,1991,197.000
Volkswagen Jetta 2.0 Gli,$61.900.000,2014,80.400
Volkswagen Jetta 2.0 Europa,$36.800.000,2015,99.800
Volkswagen Jetta 1.4 Tsi Comfortline,$75.000.000,2019,63.000
Volkswagen Jetta 1.8 Gli,$41.000.000,2012,127.000
Volkswagen Jetta Tren Line AT,$37.950.000,2014,103.000
Volkswagen Jetta 1.4 Tsi Sportline,$84.500.000,2020,81.000
Volkswagen Jetta 2.0 Europa,$33.000.000,2011,96.000
Volkswagen Jetta 2.0 Europa,$35.500.000,2012,68.000
Volkswagen Jetta 2.0 Trendline,$37.400.000,2011,42.000
Volkswagen Jetta 2.0 Europa,$31.000.000,2011,109.191
Volkswagen Jetta 2.0 Europa,$23.000.000,2007,115.000
Volkswagen Jetta 1.8 Gli,$41.000.000,2012,134.000
Volkswagen Jetta 2.0 Trendline 5 p,$39.500.000,2015,125.000
Volkswagen  Jetta 2.0 Caja Automatica 2007,$28.500.000,2007,182.000
Volkswagen Jetta 2.0 Trendline,$23.000.000,2006,120.000
Volkswagen Jetta 2.0 Europa,$37.500.000,2015,78.000
Volkswagen Jetta 2.0 Europa,$31.500.000,2011,126.000
Volkswagen Jetta 2.0 Europa,$35.000.000,2015,76.000
Volkswagen Jetta 2.0 Trendline 5 p,$33.000.000,2015,150.000
Volkswagen Jetta 2.0 Europa,$33.990.000,2015,133.000
Volkswagen Jetta 2.0 Trendline,$28.500.000,2009,115.000
Volkswagen Jetta 2.0 Trendline,$25.700.000,2007,157.000
Volkswagen Jetta 2.0 Europa,$40.500.000,2015,57.000
Volkswagen Jetta 2.0 Trendline,$28.000.000,2010,141.000
Volkswagen Jetta 1.8 Comfortline,$34.000.000,2008,117.000
Volkswagen Jetta 2.0 Trendline,$27.000.000,2008,175.000
Volkswagen Jetta 2.0 Europa,$31.000.000,2011,91.000
Volkswagen Jetta 2.0 Trendline,$25.000.000,2008,174.000
Volkswagen Jetta 2.0 Europa,$35.000.000,2015,126.000
Volkswagen Jetta 2.0 Europa,$33.000.000,2014,72.251
Volkswagen Jetta 2.0 Europa,$29.950.000,2012,96.000
Volkswagen Jetta 2.0 Trendline,$29.000.000,2009,161.405
Volkswagen Jetta 2.0 Europa,$35.500.000,2014,105.000
Volkswagen Jetta 1.8 Gli,$40.000.000,2014,96.000
Volkswagen Jetta 1.4 Tsi Comfortline,$63.000.000,2019,65.000
Volkswagen Jetta 2.0 Trendline,$33.500.000,2013,102.000
Volkswagen Jetta 2.0 Europa,$38.000.000,2015,71.000
Volkswagen Jetta 2.0 Trendline,$34.000.000,2011,95.977
Volkswagen Jetta 2.0 Europa,$28.000.000,2011,119.000
Volkswagen Jetta 2.0 Gli,$105.000.000,2017,50.000
Volkswagen Jetta 2.0 Trendline,$33.500.000,2011,94.000
Volkswagen Jetta 2.0 Trendline,$33.000.000,2013,80.000
Volkswagen Jetta 2.0 Trendline,$30.000.000,2009,190.000
Volkswagen Jetta 2.0 Trendline,$21.000.000,2006,180.000
Volkswagen Jetta 2.0 Europa,$32.800.000,2015,98.000
Volkswagen Jetta 2.0 Trendline,$34.000.000,2008,40.000
Volkswagen Jetta 1.4 Tsi Sportline,$81.700.000,2019,51.500
Volkswagen Jetta 2.0 Europa,$37.000.000,2015,133.000
Volkswagen Jetta 2.0 Europa,$29.900.000,2014,108.000
Volkswagen Jetta 2.0 Trendline,$56.000.000,2018,66.000
Volkswagen Jetta 2.0 Trendline,$35.000.000,2012,111.000
Volkswagen Jetta 2.0 Trendline,$31.400.000,2010,126.500
Volkswagen Jetta 2.0 Trendline,$28.500.000,2009,96.000
Volkswagen Jetta 1.4 Tsi Comfortline,$73.600.000,2020,32.000
Volkswagen Jetta 2.5 Trendline,$39.300.000,2012,87.700
Volkswagen Jetta 2.0 Trendline,$35.000.000,2011,180.000
Volkswagen Jetta 1.8 Gli,$34.500.000,2010,104.612
Volkswagen Jetta 2.5 Comfortline,$38.500.000,2012,115.000
Volkswagen Jetta 2.0 Europa,$46.000.000,2015,38.500
Volkswagen Jetta 1.4 Tsi Comfortline,$69.000.000,2019,88.000
Volkswagen Jetta 1.4 Tsi Highline,$67.900.000,2019,69.000
Volkswagen Jetta 1.4 Tsi Comfortline,$74.000.000,2020,23.000
Volkswagen Jetta 2.0 Trendline,$36.000.000,2013,106.000
Volkswagen Jetta 2.0 Trendline,$35.900.000,2013,120.000
Volkswagen Jetta 2.0 Trendline,$32.000.000,2011,87.000
Volkswagen Jetta 2.0 Trendline,$26.000.000,2009,125.000
Volkswagen Jetta 2.0 Trendline,$32.000.000,2009,86.198
Volkswagen Jetta 2.0 Trendline,$29.000.000,2009,153.000
Volkswagen Jetta 2.0 Trendline,$36.500.000,2013,113.000
Volkswagen Jetta 2.5 Trendline,$44.000.000,2013,112.000
Volkswagen Jetta 2.0 Trendline,$28.000.000,2008,146.000
Volkswagen Jetta 1.4 Tsi Comfortline,$65.000.000,2020,71.000
Volkswagen Jetta 2.0 Trendline,$25.000.000,2007,130.000
Volkswagen Jetta 2.0 Trendline 4 p,$37.800.000,2015,78.000
Volkswagen Jetta 2.0 Trendline,$23.000.000,2006,220.000
Volkswagen Jetta 2.0 Trendline,$30.000.000,2011,119.000
Volkswagen Jetta Modelo 2014,$55.000.000,2014,87.000
Volkswagen Jetta 2.5 Comfortline,$48.990.000,2013,55.000
Volkswagen Jetta 2.0 Trendline,$32.500.000,2011,107.000
Volkswagen Jetta 2.0 Trendline,$36.000.000,2013,100.000
Volkswagen Jetta 2.0 Trendline,$27.000.000,2009,145.000
Volkswagen Jetta 1.8 Gli,$41.999.999,2010,100.000
Volkswagen Jetta 2.5 Trendline,$45.800.000,2014,89.600
Volkswagen Jetta 2.0 Trendline,$22.500.000,2009,136.000
Volkswagen Jetta 2.0 Europa,$34.000.000,2013,151.000
Volkswagen Jetta Highline,$26.500.000,2009,100.200
Volkswagen Jetta 2.0 Trendline,$30.000.000,2011,126.782
Volkswagen Jetta 2.0 Europa,$36.000.000,2015,103.000
Volkswagen Jetta 1.8 Gli,$43.000.000,2012,66.000
Volkswagen Jetta 1.4 Tsi Highline,$75.500.000,2019,42.000
Volkswagen Jetta 1.8 Gli,$48.000.000,2014,96.000
Volkswagen Jetta 2.0 Europa,$31.000.000,2012,119.000
Volkswagen Jetta 2.0 Gli,$53.000.000,2013,93.000
Volkswagen Jetta 2.0 Trendline,$34.000.000,2010,114.000
Volkswagen Jetta 2.5 Comfortline,$42.000.000,2012,68.000
Volkswagen Jetta 2.5 Comfortline,$44.950.000,2014,159.500
Volkswagen Jetta 2.5 Comfortline,$49.500.000,2012,150.000
Volkswagen Jetta 2.0 Europa,$32.500.000,2013,100.000
Volkswagen Jetta 1.4 Tsi Sportline,$110.000.000,2019,25.000
Volkswagen Jetta 2.0 Trendline,$31.800.000,2010,118.000
Volkswagen Jetta 2.0 Trendline,$32.000.000,2011,118.000
Volkswagen Jetta 2.0 Trendline,$22.000.000,2006,145.500
Volkswagen Jetta 2.0 Trendline,$22.500.000,2007,133.000
Volkswagen Jetta 1.4 Tsi Sportline,$81.000.000,2019,55.700
Volkswagen Jetta 2.0 Europa,$30.000.000,2011,192.000
Volkswagen Jetta 2.0 Trendline,$28.500.000,2009,145.000
Volkswagen Jetta 2.5 Comfortline,$42.500.000,2012,84.441
Volkswagen Jetta 1.8 Gli,$50.500.000,2014,58.000
Volkswagen Jetta 1.8 Gli,$48.000.000,2014,75.000
Volkswagen Jetta 2.0 Trendline,$23.000.000,2007,137.000
Volkswagen Jetta 2.0 Europa,$30.000.000,2010,175.000
Volkswagen Jetta 2.0 Europa,$26.000.000,2013,170.000
Volkswagen Jetta 2.0 Comfortline,$56.000.000,2017,71.500
Volkswagen Jetta 2.0 Trendline,$30.000.000,2010,89.000
Volkswagen Jetta 2.0 Europa,$35.500.000,2014,93.000
Volkswagen Jetta 2.0 Gli,$113.900.000,2020,15.400
Volkswagen Jetta 2.0,$23.500.000,2007,168.000
Volkswagen Jetta 2.0 Trendline,$33.000.000,2013,66.833
Volkswagen Jetta 2.0 Trendline,$23.000.000,2006,180.000
Volkswagen Jetta 1.4 Tsi Comfortline,$71.000.000,2019,54.000
Volkswagen Jetta 2.5 Comfortline,$43.000.000,2013,126.000
Volkswagen Jetta 1.8 Gli,$36.000.000,2011,90.000
Volkswagen Jetta 2.0 Europa,$41.000.000,2015,78.000
Volkswagen Jetta 1.8 Gli,$44.000.000,2014,107.000
Volkswagen Jetta 2.0 Trendline,$30.000.000,2012,112.000
Volkswagen Jetta 2.0 Trendline 4 p,$44.000.000,2015,109.000
Volkswagen Jetta Automático,$21.500.000,2007,193.162
Volkswagen Jetta 2.0 Wolfsburg,$28.000.000,2009,105.000
Volkswagen Jetta 2.0 Trendline,$34.000.000,2011,148.600
Volkswagen Jetta 1.8 Gli,$42.000.000,2011,134.700
Volkswagen Jetta 2.0 Europa,$35.000.000,2013,73.800
Volkswagen Jetta 2.0 Trendline 4 p 115 hp,$39.900.000,2014,127.000
Volkswagen Jetta 1.8 Gli,$44.000.000,2011,130.000
Volkswagen Jetta 2.5 Trendline,$49.000.000,2015,39.000
Volkswagen Jetta 1.4 Tsi Comfortline,$67.000.000,2019,46.000
Volkswagen Jetta 2.0 Trendline,$37.500.000,2013,124.000
Volkswagen Jetta 1.4 Tsi Comfortline,$65.000.000,2019,89.500
Volkswagen Jetta 2.0 Trendline 4 p,$42.000.000,2015,101.000
Volkswagen Jetta 1.4 Tsi Sportline,$79.900.000,2019,30.500
Volkswagen Jetta 1.4 Tsi Comfortline,$70.000.000,2020,50.000
Volkswagen Jetta 2.0 Europa,$38.500.000,2015,100.400
Volkswagen Jetta 2.0 Comfortline,$52.000.000,2016,97.000
Volkswagen Jetta 2.5 Comfortline,$39.800.000,2011,91.300
Volkswagen Jetta 2.0 Trendline 4 p,$45.500.000,2015,61.000
Volkswagen Jetta 2.0 Europa,$30.800.000,2013,107.000
Volkswagen Jetta 2.0 Europa,$26.500.000,2008,137.500
Volkswagen Jetta 2.0 Trendline,$30.500.000,2008,146.894
Volkswagen Jetta 2.0 Europa,$35.000.000,2014,101.000
Volkswagen Jetta 2.0 Trendline,$29.500.000,2008,134.633
Volkswagen Jetta 2.0 Trendline,$33.500.000,2011,75.000
Volkswagen Jetta 2.5 Comfortline,$49.900.000,2014,79.000
Volkswagen Jetta 2.5 Comfortline,$40.000.000,2013,103.000
Volkswagen Jetta 1.8 Gli,$53.000.000,2014,68.498
Volkswagen Jetta 2.0 Trendline,$34.000.000,2012,140.000
Volkswagen Jetta 1.4 Tsi Comfortline,$69.000.000,2020,45.000
Volkswagen Jetta 2.0 Trendline,$28.900.000,2011,164.000
Volkswagen Jetta 2.0 Europa,$31.500.000,2013,73.264
Volkswagen Jetta 1.8 Gli,$40.000.000,2011,80.000
Volkswagen Jetta 1.8 Gli,$48.000.000,2012,112.000
Volkswagen Jetta 2.5 Highline,$56.000.000,2017,29.000
Volkswagen Jetta 1.8 Gli,$46.000.000,2012,70.000
Volkswagen Jetta 2.0 Trendline,$19.900.000,2006,175.000
Volkswagen Jetta 2.0 Wolfsburg,$32.000.000,2009,106.500
Volkswagen Jetta 2.0 Trendline,$31.900.000,2013,111.000
Volkswagen Jetta 2.0 Trendline,$29.500.000,2011,185.400
Volkswagen Jetta 2.0 Trendline 4 p 114 hp,$34.500.000,2014,89.500
Volkswagen Jetta 2.0 Trendline,$35.000.000,2012,110.000
Volkswagen Jetta 1.4 Tsi Highline,$109.000.000,2022,14.500
Volkswagen Jetta 2.0 Europa,$28.900.000,2008,149.000
Volkswagen Jetta Clásico ,$22.000.000,2006,153.000
Volkswagen Jetta 2.0 Europa,$41.000.000,2015,84.000
Volkswagen Jetta 2.0 Trendline,$26.600.000,2008,135.200
Volkswagen Jetta 1.4 Tsi Highline,$76.000.000,2019,47.000
Volkswagen Jetta 2.0 Europa,$35.000.000,2015,154.000
Volkswagen Jetta 2.0 Trendline,$30.000.000,2008,116.200
Volkswagen Jetta 2.0 Europa,$38.000.000,2013,70.900
Volkswagen Jetta 2.0 Europa,$24.000.000,2009,150.000
Volkswagen Jetta 1.4 Tsi Comfortline,$67.000.000,2019,46.800
Volkswagen Jetta 2.0 Europa,$32.000.000,2013,148.000
Volkswagen Jetta 1.8 Gli,$53.500.000,2014,94.000
Volkswagen Jetta 1.8 Gli,$41.000.000,2012,137.000
Volkswagen Jetta 2.0 Trendline,$33.500.000,2013,105.000
Volkswagen Jetta 2.0 Europa,$34.000.000,2014,148.000
Volkswagen Jetta 1.8 Gli,$27.000.000,2012,89.700
Volkswagen Jetta 2.0 Trendline,$32.000.000,2010,85.000
Volkswagen Jetta 2.0 Gli,$75.000.000,2014,52.000
Volkswagen Jetta 2.0 Trendline,$32.000.000,2011,170.000
Volkswagen Jetta 2.0 Trendline,$30.900.000,2013,136.000
Volkswagen Jetta 2.0 Europa,$31.000.000,2011,110.000
Volkswagen Jetta 1.8 Gli,$40.500.000,2011,102.000
Volkswagen Jetta 2.5 Trendline,$44.000.000,2014,88.000
Volkswagen Jetta 2.0 Europa,$35.500.000,2014,136.000
Volkswagen Jetta 2.0 Trendline,$27.000.000,2008,98.200
Volkswagen Jetta 2.0 Europa,$29.500.000,2009,175.000
Volkswagen Jetta 2.0 Trendline,$36.000.000,2011,54.400
Volkswagen Jetta 2.0 Trendline,$36.000.000,2012,76.000
Volkswagen Jetta 2.0 Trendline,$44.000.000,2013,113.000
Volkswagen Jetta 2.0 Comfortline,$49.325.000,2015,125.000
Volkswagen Jetta 2.0 Europa,$33.000.000,2013,94.000
Volkswagen Jetta 1.4 Tsi Sportline,$85.000.000,2019,26.200
Volkswagen Jetta 2.0 Trendline,$38.000.000,2013,85.000
Volkswagen Jetta 2.0 Trendline,$55.000.000,2017,41.800
Volkswagen Jetta 1.4 Tsi Comfortline,$65.000.000,2019,66.000
Volkswagen Jetta 2.0 Europa,$32.000.000,2015,112.000
Volkswagen Jetta 1.8 Gli,$58.000.000,2014,65.000
Volkswagen Jetta 2.5 Trendline,$46.500.000,2014,58.000
Volkswagen Jetta 2.0 Trendline,$33.000.000,2010,117.000
Volkswagen Jetta 2.0 Gli 211 hp,$85.000.000,2016,30.700
Volkswagen Jetta 1.4 Tsi Sportline,$80.000.000,2019,52.100
Volkswagen Jetta Jetta,$27.500.000,2009,190.000
Volkswagen Jetta 2.0 Trendline,$30.000.000,2009,142.985
Volkswagen Jetta 1.8 Comfortline,$30.000.000,2010,166.000
Volkswagen Jetta 1.8 Gli,$35.000.000,2012,117.000
Volkswagen Jetta 2.0 Europa,$40.000.000,2015,83.000
Volkswagen Jetta 2.0 Gli,$62.000.000,2014,55.000
Volkswagen Jetta 2.0 Europa,$32.500.000,2014,110.000
Volkswagen Jetta 2.0 Europa,$28.000.000,2009,168.000
Volkswagen Jetta 2.0 Trendline,$34.000.000,2011,148.888
Volkswagen Jetta 2.0 Trendline,$29.500.000,2008,115.000
Volkswagen Jetta 2.0 Trendline,$27.000.000,2009,111.000
Volkswagen Jetta 2.0 Trendline,$32.000.000,2010,149.870
Volkswagen Jetta 2.0 Trendline,$22.500.000,2006,167.300
Volkswagen Jetta 1.8 Gli,$51.600.000,2014,113.000
Volkswagen Jetta 2.0 Europa,$41.000.000,2014,62.000
Wolksvaguen 2012 Jetta Gli,$50.000.000,2012,86.000
Volkswagen Jetta 2.8 Vr6,$25.000.000,1995,160.000
Volkswagen Jetta 1.4 Tsi Sportline,$85.000.000,2020,48.000
Volkswagen Jetta 2.0 Comfortline,$56.000.000,2017,85.000
Volkswagen Jetta 1.4 Tsi Comfortline,$68.000.000,2019,24.000
Volkswagen Jetta 2.0 Europa,$27.500.000,2011,130.000
Volkswagen Jetta 2.0 Trendline,$27.000.000,2010,103.200
Volkswagen Jetta 2.5 Comfortline,$37.900.000,2014,102.000
Volkswagen Jetta 2.0 Europa,$38.500.000,2013,71.200
Volkswagen Jetta 2.5 Comfortline,$48.000.000,2014,94.000
Volkswagen Jetta 1.8 Gli,$48.000.000,2014,77.000
Volkswagen Jetta 2.0 Trendline,$32.000.000,2013,90.000
Volkswagen Jetta 2.5 Comfortline,$50.000.000,2016,55.000
Volkswagen Jetta 2.0 Europa,$42.800.000,2015,58.525
Volkswagen Jetta 2.0 Trendline,$30.000.000,2008,131.000
Volkswagen Jetta 2.0 Trendline,$17.000.000,2006,150.000
Volkswagen Jetta 2.0 Europa,$35.000.000,2014,110.500
Volkswagen Jetta 2.0 Europa,$23.500.000,2009,190.000
Volkswagen Jetta 2.0 Europa,$31.000.000,2011,130.000
Volkswagen Jetta 2.0 Comfortline,$42.500.000,2015,77.000
Volkswagen Jetta 2.0 Europa,$26.000.000,2009,141.000
Volkswagen Jetta 2.5 Comfortline,$39.000.000,2013,111.000
Volkswagen Jetta 2.0 Trendline,$25.500.000,2007,148.000
Volkswagen Jetta Clásico,$24.500.000,2008,130.000
Volkswagen Jetta 2.0 Europa,$36.000.000,2012,120.000
Volkswagen Jetta Trend Line,$27.300.000,2009,1.150.000
Volkswagen Jetta Gli At 1800 Turbo ,$31.700.000,2010,100.000
Volkswagen Jetta 2.0 Trendline Mecanico,$13.990.000,2005,120.000
